First Name,Last Name,Email,Age,Department
Alice,Smith,alice@example.com,25,Engineering
Bob,Jones,bob@example.com,30,Sales
Charlie,Brown,charlie@example.com,27,Marketing
David,Lee,david@example.com,24,HR
Eve,Williams,eve@example.com,26,Finance
Frank,Taylor,frank@example.com,28,Engineering
Grace,Clark,grace@example.com,29,Sales
Hannah,Adams,hannah@example.com,31,Marketing
Ivy,Baker,ivy@example.com,30,HR
Jack,Moore,jack@example.com,27,Finance
Kate,Young,kate@example.com,,Engineering
Luke,Hall,,26,Sales
